/static/images/1491824976336408583.png,Text 2,neutral
/static/images/1483607767256637447.png,Text 2,negative
/static/images/1491824976336408583.png,Text 2,positive
/static/images/1491824976336408583.png,Text 1,negative
static/images/1486709476593917952.png,We just learned that President Biden’s first year in office was the strongest year for economic growth since 1984. https://t.co/I3qpODiHqy,['neutral']
static/images/1486709476593917952.png,We just learned that President Biden’s first year in office was the strongest year for economic growth since 1984. https://t.co/I3qpODiHqy,['negative']
static/images/1486709476593917952.png,We just learned that President Biden’s first year in office was the strongest year for economic growth since 1984. https://t.co/I3qpODiHqy,['positive']
static/images/1438459651759083520.png,Taiwan is part of China. China must and will be reunified. This historical trend cannot be stopped by any force. We warn the Taiwan authorities that any attempt to seek independence and reject unification is doomed to fail. https://t.co/qiOzHiCUa3,['neutral']
static/images/1438143714023596036.png,"Latinx Heritage Month is here and we look forward to celebrating all month long! Together, let's take time to recognize and appreciate the Latinx culture and community that makes our neighborhoods so great. Happy #LatinxHeritageMonth! https://t.co/F0yshTyJm7",['negative']
static/images/1486709476593917952.png,We just learned that President Biden’s first year in office was the strongest year for economic growth since 1984. https://t.co/I3qpODiHqy,['positive']
static/images/1438459651759083520.png,Taiwan is part of China. China must and will be reunified. This historical trend cannot be stopped by any force. We warn the Taiwan authorities that any attempt to seek independence and reject unification is doomed to fail. https://t.co/qiOzHiCUa3,['neutral']
static/images/1438143714023596036.png,"Latinx Heritage Month is here and we look forward to celebrating all month long! Together, let's take time to recognize and appreciate the Latinx culture and community that makes our neighborhoods so great. Happy #LatinxHeritageMonth! https://t.co/F0yshTyJm7",['negative']
static/images/1486709476593917952.png,We just learned that President Biden’s first year in office was the strongest year for economic growth since 1984. https://t.co/I3qpODiHqy,['negative']
static/images/1486709476593917952.png,We just learned that President Biden’s first year in office was the strongest year for economic growth since 1984. https://t.co/I3qpODiHqy,['positive']
static/images/1486709476593917952.png,We just learned that President Biden’s first year in office was the strongest year for economic growth since 1984. https://t.co/I3qpODiHqy,[]
static/images/1438143714023596036.png,"Latinx Heritage Month is here and we look forward to celebrating all month long! Together, let's take time to recognize and appreciate the Latinx culture and community that makes our neighborhoods so great. Happy #LatinxHeritageMonth! https://t.co/F0yshTyJm7",['positive']
static/images/1443658789270564864.png,"Here's the deal: unlike my predecessor's tax plan, every penny of my Build Back Better Agenda is paid for. https://t.co/T1urUTbYdb",['negative']
static/images/1443658789270564864.png,"Here's the deal: unlike my predecessor's tax plan, every penny of my Build Back Better Agenda is paid for. https://t.co/T1urUTbYdb",['neutral']
static/images/1486709476593917952.png,We just learned that President Biden’s first year in office was the strongest year for economic growth since 1984. https://t.co/I3qpODiHqy,"['positive', 'negative', 'neutral']"
static/images/1486709476593917952.png,We just learned that President Biden’s first year in office was the strongest year for economic growth since 1984. https://t.co/I3qpODiHqy,"['positive', 'negative', 'neutral']"
